"","Entity","CUI","Freq","Tid","Tname"
"254","significant associations","C1719401",23,"T184","Sign or Symptom"
"256","sleep disturbances","C0037317",23,"T184","Sign or Symptom"
"258","gender dysphoria","C0686346",23,"T048","Mental or Behavioral Dysfunction"
"262","prenatal infection","C0270151",22,"T047","Disease or Syndrome"
"263","affective disorders","C0525045",22,"T048","Mental or Behavioral Dysfunction"
"271","schizotypal traits","C0033836",22,"T048","Mental or Behavioral Dysfunction"
"279","developmental disorders","C0349331",21,"T048","Mental or Behavioral Dysfunction"
"283","inappropriate speech","C1168248",21,"T047","Disease or Syndrome"
"284","sensory symptoms","C0423551",21,"T033","Finding"
"287","significant difference","C0428676",21,"T033","Finding"
"290","increased anxiety","C0003467",21,"T048","Mental or Behavioral Dysfunction"
"291","attention-deficit/hyperactivity disorder","C1263846",21,"T048","Mental or Behavioral Dysfunction"
"292","positive symptoms","C0871099",21,"T184","Sign or Symptom"
"294","substance use disorder","C0038586",21,"T048","Mental or Behavioral Dysfunction"
"295","fragile x","C0016667",21,"T047","Disease or Syndrome"
"298","behavioral abnormalities","C0233514",20,"T048","Mental or Behavioral Dysfunction"
"300","psychopathic traits","C0233859",20,"T048","Mental or Behavioral Dysfunction"
"301","allergic rhinitis","C2607914",20,"T047","Disease or Syndrome"
"304","oppositional defiant disorder","C0029121",20,"T048","Mental or Behavioral Dysfunction"
"307","developmental disorder","C0008073",20,"T048","Mental or Behavioral Dysfunction"
"308","mental health problems","C1446377",20,"T033","Finding"
"312","gastrointestinal symptoms","C0426576",19,"T184","Sign or Symptom"
"314","significant interaction","C1319490",19,"T033","Finding"
"317","learning difficulties","C0424939",19,"T033","Finding"
"318","behavioral deficits","C0562445",19,"T033","Finding"
"323","adhd attention deficit hyperactivity disorder","C1263846",18,"T048","Mental or Behavioral Dysfunction"
"326","behaviour problems","C0233514",18,"T048","Mental or Behavioral Dysfunction"
"329","clinical adhd","C1263846",18,"T048","Mental or Behavioral Dysfunction"
"331","social behaviors","C0037397",18,"T054","Social Behavior"
"332","mean (sd)","C3554442",18,"T033","Finding"
"337","learning disabilities","C0751265",18,"T048","Mental or Behavioral Dysfunction"
"347","medical disorders","C0348507",18,"T047","Disease or Syndrome"
"352","symptom severity","C1319166",17,"T033","Finding"
"354","comorbid conditions","C1275743",17,"T033","Finding"
"355","dynamic facial expressions","C0015457",17,"T033","Finding"
"357","gestational diabetes","C0085207",17,"T047","Disease or Syndrome"
"358","substance abuse","C0740858",17,"T048","Mental or Behavioral Dysfunction"
"360","psychopathic tendencies","C0003431",17,"T048","Mental or Behavioral Dysfunction"
"361","social phobia","C0031572",17,"T048","Mental or Behavioral Dysfunction"
"363","genetic and environmental factors","C1516998",17,"T033","Finding"
"365","panic disorder","C0030319",17,"T048","Mental or Behavioral Dysfunction"
"366","cardiovascular disease","C0007222",17,"T047","Disease or Syndrome"
"368","bullying involvement","C0424318",17,"T048","Mental or Behavioral Dysfunction"
"369","generalised anxiety","C0270549",17,"T048","Mental or Behavioral Dysfunction"
"370","genetic disorder","C0019247",16,"T047","Disease or Syndrome"
"372","aggressive behavior","C0001807",16,"T055","Individual Behavior"
"383","anxiety problems","C1387808",16,"T033","Finding"
"385","stereotypic behavior","C0038271",16,"T055","Individual Behavior"
"388","gi problems","C0017187",16,"T033","Finding"
"389","separation anxiety","C1879354",16,"T033","Finding"
"393","asperger disorder","C0236792",16,"T048","Mental or Behavioral Dysfunction"
"396","attention deficit traits","C0041671",15,"T048","Mental or Behavioral Dysfunction"
"398","peer problems","C3532917",15,"T033","Finding"
"400","depressive disorder","C0011581",15,"T048","Mental or Behavioral Dysfunction"
"403","deletion syndrome","C0004402",15,"T047","Disease or Syndrome"
"409","social symptoms","C0037421",15,"T054","Social Behavior"
"412","social anxiety disorder","C0031572",15,"T048","Mental or Behavioral Dysfunction"
"414","low birth weight","C0024032",15,"T033","Finding"
"416","developmental coordination disorder","C0011757",15,"T048","Mental or Behavioral Dysfunction"
"417","emotional faces","C0013987",15,"T041","Mental Process"
"419","stereotypical behaviors","C0038271",15,"T055","Individual Behavior"
"420","constricted affect","C0233470",15,"T033","Finding"
"421","congruency effect","C0871897",15,"T041","Mental Process"
"423","srs scores","C0175693",15,"T047","Disease or Syndrome"
"424","emotional facial expressions","C0302826",15,"T048","Mental or Behavioral Dysfunction"
"428","conduct disorder","C0149654",15,"T048","Mental or Behavioral Dysfunction"
"429","genetic risk factors","C0814299",15,"T033","Finding"
"431","major psychiatric disorders","C0748057",15,"T048","Mental or Behavioral Dysfunction"
"433","vaccines side effects","C0517608",15,"T033","Finding"
"434","severe symptoms","C3862538",15,"T184","Sign or Symptom"
"437","communication problems","C2364293",15,"T033","Finding"
"439","psychotic disorder","C0033975",14,"T048","Mental or Behavioral Dysfunction"
"440","functional impairment","C4061376",14,"T033","Finding"
"444","childhood disintegrative disorder","C0236791",14,"T048","Mental or Behavioral Dysfunction"
"445","attention deficits","C0041671",14,"T048","Mental or Behavioral Dysfunction"
"446","anxiety-like behavior","C0474385",14,"T033","Finding"
"449","neurodegenerative diseases","C0524851",14,"T047","Disease or Syndrome"
"450","short stature","C0349588",14,"T033","Finding"
"451","allergic conjunctivitis","C0009766",14,"T047","Disease or Syndrome"
"454","behavior problems","C0233514",14,"T048","Mental or Behavioral Dysfunction"
"456","alzheimer's disease","C0002395",14,"T047","Disease or Syndrome"
"458","vitamin d deficiency","C0042870",14,"T047","Disease or Syndrome"
"459","comorbid anxiety disorders","C0009488",14,"T033","Finding"
"460","low iq","C0848034",14,"T048","Mental or Behavioral Dysfunction"
"469","severe intellectual disability","C0036857",14,"T048","Mental or Behavioral Dysfunction"
"473","stereotyped behaviour","C0038271",13,"T055","Individual Behavior"
"474","behavioral changes","C0542299",13,"T055","Individual Behavior"
"475","std error","C0036916",13,"T047","Disease or Syndrome"
"476","restricted and repetitive behaviours","C4021799",13,"T048","Mental or Behavioral Dysfunction"
"482","psychiatric problems","C1306597",13,"T048","Mental or Behavioral Dysfunction"
"483","schizoaffective disorder","C0036337",13,"T048","Mental or Behavioral Dysfunction"
"485","autoimmune diseases","C0004364",13,"T047","Disease or Syndrome"
"487","frax > ds","C0751157",13,"T047","Disease or Syndrome"
"490","language impairments","C0023015",13,"T048","Mental or Behavioral Dysfunction"
"492","somatic complaints","C0233756",13,"T184","Sign or Symptom"
"493","eating disorders","C0013473",13,"T048","Mental or Behavioral Dysfunction"
"498","specific language impairment","C0454651",13,"T047","Disease or Syndrome"
"499","large effect","C3506373",13,"T184","Sign or Symptom"
"500","affective disorder","C0525045",13,"T048","Mental or Behavioral Dysfunction"
"504","atopic dermatitis","C0011615",12,"T047","Disease or Syndrome"
"505","attention deficit","C0041671",12,"T048","Mental or Behavioral Dysfunction"
"508","significant interactions","C1319490",12,"T033","Finding"
"509","courtesy stigma","C0277787",12,"T033","Finding"
"511","visual impairment","C3665347",12,"T033","Finding"
"512","hearing loss","C1384666",12,"T047","Disease or Syndrome"
"514","timothy syndrome","C1832916",12,"T047","Disease or Syndrome"
"517","affiliate stigma","C0277787",12,"T033","Finding"
"518","prosocial behavior","C0871164",12,"T054","Social Behavior"
"522","high schizotypal traits","C0033836",12,"T048","Mental or Behavioral Dysfunction"
"524","adhd groups","C1263846",12,"T048","Mental or Behavioral Dysfunction"
"527","prosocial behaviors","C0871164",12,"T054","Social Behavior"
"529","social interaction across multiple contexts","C0037420",12,"T033","Finding"
"530","cognitive developmental delay","C1959866",12,"T048","Mental or Behavioral Dysfunction"
"531","asdautism spectrum disorders","C0027873",12,"T047","Disease or Syndrome"
"535","obsessive compulsive disorder","C0028768",12,"T048","Mental or Behavioral Dysfunction"
"536","attention-deficit/hyperactivity disorder (adhd","C1263846",12,"T048","Mental or Behavioral Dysfunction"
"541","aggressive behaviour","C0001807",12,"T055","Individual Behavior"
"547","tic disorder","C0040188",12,"T048","Mental or Behavioral Dysfunction"
"548","learning problems","C0851265",12,"T048","Mental or Behavioral Dysfunction"
"549","feelings of loneliness","C0023974",12,"T033","Finding"
"550","social interactions","C0037420",12,"T033","Finding"
"551","eye gaze","C4049564",12,"T047","Disease or Syndrome"
"553","language difficulties","C0564213",12,"T033","Finding"
"555","unhealthy weight gain","C0043094",12,"T033","Finding"
"556","severe deficits","C4228415",12,"T033","Finding"
"560","cognitive symptoms","C0525041",11,"T184","Sign or Symptom"
"564","respiratory infection","C0035243",11,"T047","Disease or Syndrome"
"566","associated symptoms","C0521989",11,"T184","Sign or Symptom"
"567","compulsive behaviour","C0600104",11,"T048","Mental or Behavioral Dysfunction"
"575","related disorders","C0178303",11,"T047","Disease or Syndrome"
"577","anxiety levels","C0564474",11,"T033","Finding"
"580","sensory issues","C0033213",11,"T033","Finding"
"581","sensory overload","C0454449",11,"T033","Finding"
"582","behavioral impairments","C2712036",11,"T033","Finding"
"583","problem behaviors","C0233514",11,"T048","Mental or Behavioral Dysfunction"
"585","angry faces","C0002957",11,"T041","Mental Process"
"586","emotional behavior","C0946050",11,"T055","Individual Behavior"
"590","impaired communication","C0009460",11,"T048","Mental or Behavioral Dysfunction"
"596","genetic abnormalities","C0262496",11,"T033","Finding"
"598","hearing impairment","C0260662",11,"T033","Finding"
"599","intellectual difficulty","C0679086",11,"T041","Mental Process"
"600","perseverative errors","C4063609",11,"T033","Finding"
"603","adhd group","C1263846",11,"T048","Mental or Behavioral Dysfunction"
"604","communication impairments","C0009460",11,"T048","Mental or Behavioral Dysfunction"
"605","receptive language","C1406026",11,"T048","Mental or Behavioral Dysfunction"
"607","personality traits","C0233849",11,"T033","Finding"
"612","fearful faces","C0015726",11,"T041","Mental Process"
"613","autoimmune disease","C0004364",11,"T047","Disease or Syndrome"
"617","public stigma","C0277787",11,"T033","Finding"
"618","cognitive flexibility","C2370892",11,"T041","Mental Process"
"619","behavioral disorders","C0004930",11,"T048","Mental or Behavioral Dysfunction"
"621","significant baseline imbalance","C1397014",11,"T184","Sign or Symptom"
"622","generalized anxiety disorder","C0270549",11,"T048","Mental or Behavioral Dysfunction"
"624","cognitive processes","C0025361",11,"T041","Mental Process"
"625","schizophrenia spectrum disorders","C0525046",11,"T048","Mental or Behavioral Dysfunction"
"630","severe symptoms","C1319166",10,"T033","Finding"
"631","sdq-adhd scores","C4068324",10,"T033","Finding"
"633","visual-speech recognition","C0597498",10,"T041","Mental Process"
"635","behavioral difficulties","C3275496",10,"T033","Finding"
"638","restricted and repetitive behaviour","C4021799",10,"T048","Mental or Behavioral Dysfunction"
"639","motor deficits","C0521654",10,"T033","Finding"
"641","parkinson’s disease","C0030567",10,"T047","Disease or Syndrome"
"643","gastrointestinal disorders","C0017178",10,"T047","Disease or Syndrome"
"644","multiple sclerosis","C0026769",10,"T047","Disease or Syndrome"
"647","chronic illness","C0008679",10,"T047","Disease or Syndrome"
"653","cognitive difficulties","C1827897",10,"T033","Finding"
"654","unipolar depression","C0041696",10,"T048","Mental or Behavioral Dysfunction"
"664","specific phobia","C0236801",10,"T048","Mental or Behavioral Dysfunction"
"665","empathic concern","C0564547",10,"T033","Finding"
"666","psychiatric disease","C0004936",10,"T048","Mental or Behavioral Dysfunction"
"667","borderline personality disorder","C0006012",10,"T048","Mental or Behavioral Dysfunction"
"670","emotional awareness","C0004448",10,"T041","Mental Process"
"672","hyperactivity subscales","C0424295",10,"T048","Mental or Behavioral Dysfunction"
"676","early medical events","C1271991",10,"T033","Finding"
"678","comorbid disorders","C0009488",10,"T033","Finding"
"683","premature responses","C2051734",10,"T033","Finding"
"684","hyperkinetic disorder","C1263846",10,"T048","Mental or Behavioral Dysfunction"
"685","epileptic fits","C0014544",10,"T047","Disease or Syndrome"
"691","sleep difficulties","C0235162",10,"T184","Sign or Symptom"
"692","memory formation","C0025260",10,"T041","Mental Process"
"693","neurobehavioral disorders","C0872354",10,"T033","Finding"
"694","attention deficit hyperactivity disorder (adhd)","C1263846",10,"T048","Mental or Behavioral Dysfunction"
"695","challenging behavior","C0474414",10,"T033","Finding"
"698","epileptic seizures","C0014544",10,"T047","Disease or Syndrome"
"699","pragmatic language","C0871858",10,"T054","Social Behavior"
"702","aberrant behaviors","C0233942",10,"T048","Mental or Behavioral Dysfunction"
"704","emotional responses","C0870485",9,"T041","Mental Process"
"707","positive emotions","C0013987",9,"T041","Mental Process"
"708","bullying variables","C0424318",9,"T048","Mental or Behavioral Dysfunction"
"714","faster responses","C3842905",9,"T033","Finding"
"716","neurological disorder","C0027765",9,"T047","Disease or Syndrome"
"724","gi disturbances","C0341201",9,"T047","Disease or Syndrome"
"736","tic disorders","C0040188",9,"T048","Mental or Behavioral Dysfunction"
"739","severe marital discord","C0555026",9,"T033","Finding"
"741","language disorder","C0023015",9,"T048","Mental or Behavioral Dysfunction"
"743","maternal mental disorder","C3647730",9,"T048","Mental or Behavioral Dysfunction"
"744","challenging behaviors","C0474414",9,"T033","Finding"
"746","reduced activity","C0015499",9,"T047","Disease or Syndrome"
"747","metabolic disorders","C0025517",9,"T047","Disease or Syndrome"
"749","ados css","C0265338",9,"T047","Disease or Syndrome"
"758","emotional disorders","C0233459",9,"T048","Mental or Behavioral Dysfunction"
"762","socio-emotional problems","C0677660",9,"T048","Mental or Behavioral Dysfunction"
"763","brain disorders","C0006111",9,"T047","Disease or Syndrome"
"765","emotion recognition dysfunction","C0743479",9,"T048","Mental or Behavioral Dysfunction"
"769","motor abnormalities","C3809247",9,"T033","Finding"
"776","small effect size","C4229797",9,"T033","Finding"
"778","psychiatric comorbidities","C0009488",9,"T033","Finding"
"782","psychiatric comorbidity","C0009488",9,"T033","Finding"
"786","adaptive behavior","C0085880",9,"T055","Individual Behavior"
"787","eye gaze cues","C4049564",9,"T047","Disease or Syndrome"
"789","mood swings","C0085633",9,"T048","Mental or Behavioral Dysfunction"
"790","parenting behaviors","C0085092",9,"T054","Social Behavior"
"791","memory deficits","C0233794",9,"T048","Mental or Behavioral Dysfunction"
"792","psychotic disorders","C0033975",9,"T048","Mental or Behavioral Dysfunction"
"796","disruptive behavior","C0474416",9,"T033","Finding"
"799","brain abnormalities","C0476393",9,"T033","Finding"
"801","sensory responsiveness","C1838401",9,"T033","Finding"
"802","urine decreased","C0028961",9,"T047","Disease or Syndrome"
"808","significant interaction effect","C1319490",9,"T033","Finding"
"810","externalizing symptoms","C1963108",9,"T033","Finding"
"813","sensory abnormalities","C1262071",9,"T033","Finding"
"815","environmental factors","C1516998",9,"T033","Finding"
"816","motor dysfunction","C0521654",9,"T033","Finding"
"818","comorbid symptoms","C0009488",9,"T033","Finding"
"819","adhdattention deficit hyperactivity disorder","C1263846",9,"T048","Mental or Behavioral Dysfunction"
"822","social behavior","C0037397",9,"T054","Social Behavior"
"825","hyperacusis-related distress","C0034880",8,"T184","Sign or Symptom"
"827","expression recognition deficits","C4072928",8,"T048","Mental or Behavioral Dysfunction"
"829","maternal metabolic disorders","C0025517",8,"T047","Disease or Syndrome"
"831","difficulty interacting","C1299586",8,"T033","Finding"
"832","depression diagnosis","C0011581",8,"T048","Mental or Behavioral Dysfunction"
"835","hyperactivity/impulsivity symptoms","C2231354",8,"T048","Mental or Behavioral Dysfunction"
"837","“pervasive developmental disorder","C0524528",8,"T048","Mental or Behavioral Dysfunction"
"838","psychological stress","C0038443",8,"T048","Mental or Behavioral Dysfunction"
"839","sensory dysfunction","C0877083",8,"T184","Sign or Symptom"
"841","communication symptoms","C2077883",8,"T184","Sign or Symptom"
"843","increased gut permeability","C1404951",8,"T047","Disease or Syndrome"
"845","cd conduct disorder","C0018777",8,"T047","Disease or Syndrome"
"846","mental rotation task","C0870880",8,"T041","Mental Process"
"851","global developmental delay","C0557874",8,"T048","Mental or Behavioral Dysfunction"
"856","dementia praecox","C0036341",8,"T048","Mental or Behavioral Dysfunction"
"858","social interaction difficulties","C4015169",8,"T033","Finding"
"862","comorbid psychiatric disorders","C0009488",8,"T033","Finding"
"863","sleep disturbance","C0037317",8,"T184","Sign or Symptom"
"864","mood disorder","C0525045",8,"T048","Mental or Behavioral Dysfunction"
"866","intellectual difficulties","C0679086",8,"T041","Mental Process"
"867","r repetitive behavior scale","C1827547",8,"T033","Finding"
"869","primary anxiety disorder","C0003469",8,"T048","Mental or Behavioral Dysfunction"
"870","abdominal pain","C0000737",8,"T184","Sign or Symptom"
"873","schizophrenia spectra","C0235068",8,"T184","Sign or Symptom"
"874","attention deficit/hyperactivity disorder (adhd","C1263846",8,"T048","Mental or Behavioral Dysfunction"
"885","bullying victimization","C0562379",8,"T033","Finding"
"887","neuropsychiatric symptoms","C3248265",8,"T033","Finding"
"889","increased intestinal permeability","C1404951",8,"T047","Disease or Syndrome"
"891","social-communication difficulties","C2189304",8,"T033","Finding"
"893","visual-movement regions","C0422980",8,"T033","Finding"
"894","emotional regulation","C2370884",8,"T041","Mental Process"
"895","intrauterine hyperglycemia","C0020456",8,"T047","Disease or Syndrome"
"898","intellectual impairments","C0683322",8,"T048","Mental or Behavioral Dysfunction"
"899","neuronal differentiation","C1518294",8,"T033","Finding"
"901","genetic conditions","C0019247",8,"T047","Disease or Syndrome"
"903","aggressive behaviors","C0001807",8,"T055","Individual Behavior"
"904","adhd scores","C4068324",8,"T033","Finding"
"905","post-traumatic stress disorder","C0038436",8,"T048","Mental or Behavioral Dysfunction"
"906","altered behavior","C0542299",8,"T055","Individual Behavior"
"909","restricted behavior","C4021799",8,"T048","Mental or Behavioral Dysfunction"
"917","chinese srs","C0175693",8,"T047","Disease or Syndrome"
"920","fragile x syndrome (fxs)","C0016667",8,"T047","Disease or Syndrome"
"921","duplication syndrome","C0265428",8,"T047","Disease or Syndrome"
"923","fragile x mental retardation","C0016667",8,"T047","Disease or Syndrome"
"927","rheumatoid arthritis","C0003873",8,"T047","Disease or Syndrome"
"928","neurological diseases","C0027765",8,"T047","Disease or Syndrome"
"929","poor performance","C1843367",8,"T033","Finding"
"933","specific repetitive behaviors","C1827547",8,"T033","Finding"
"934","cognitive rigidity","C0009240",8,"T041","Mental Process"
"935","gastrointestinal problems","C0017187",8,"T033","Finding"
"936","short-term memory","C0025265",8,"T041","Mental Process"
"938","neurological disease","C0027765",8,"T047","Disease or Syndrome"
"944","birth complications","C2825536",8,"T033","Finding"
"948","inappropriate behavior","C0233522",8,"T048","Mental or Behavioral Dysfunction"
"949","amyotrophic lateral sclerosis","C0002736",8,"T047","Disease or Syndrome"
"950","restrictive and repetitive behaviors","C1827547",8,"T033","Finding"
"951","neurodegenerative disorders","C0524851",8,"T047","Disease or Syndrome"
"956","high comorbidity","C0009488",8,"T033","Finding"
"958","adhd = attention deficit/hyperactivity disorder","C1263846",8,"T048","Mental or Behavioral Dysfunction"
"961","significant impairment","C4013483",7,"T033","Finding"
"962","behavioural symptoms","C0497321",7,"T184","Sign or Symptom"
"966","wave latency","C0429369",7,"T033","Finding"
"967","moderate intellectual disability","C0026351",7,"T048","Mental or Behavioral Dysfunction"
"969","memory impairments","C0233794",7,"T048","Mental or Behavioral Dysfunction"
"972","primary symptoms","C0858960",7,"T047","Disease or Syndrome"
"975","inflammatory bowel disease","C0021390",7,"T047","Disease or Syndrome"
"976","false positives","C0205557",7,"T033","Finding"
"980","social interaction","C0037420",7,"T033","Finding"
"981","adhdattention-deficit/hyperactivity disorder","C1263846",7,"T048","Mental or Behavioral Dysfunction"
"985","neuropsychiatric traits","C0752335",7,"T047","Disease or Syndrome"
"988","restricted behaviors","C4021799",7,"T048","Mental or Behavioral Dysfunction"
"989","restricted repetitive and stereotyped patterns of behaviour","C4064201",7,"T033","Finding"
"998","loss-of-function mutations","C0155514",7,"T047","Disease or Syndrome"
"1001","multiple genetic variants","C1953337",7,"T033","Finding"
"1002","lack of interest","C0424091",7,"T033","Finding"
"1003","eye blinks","C1699603",7,"T184","Sign or Symptom"
"1004","psychiatric illnesses","C0004936",7,"T048","Mental or Behavioral Dysfunction"
"1008","type 2 diabetes","C0011860",7,"T047","Disease or Syndrome"
"1010","inferior–superior dimensions","C0680219",7,"T054","Social Behavior"
"1011","stereotypical behavior","C0038271",7,"T055","Individual Behavior"
"1014","hyperactivity/impulsivity/executive function","C2231354",7,"T048","Mental or Behavioral Dysfunction"
"1015","loss of consciousness","C0041657",7,"T033","Finding"
"1018","executive dysfunction","C2748208",7,"T048","Mental or Behavioral Dysfunction"
"1021","behavioral rigidity","C0231517",7,"T055","Individual Behavior"
"1023","neurodevelopmental cognitive hypothesis","C0871688",7,"T041","Mental Process"
"1025","adhd, attention-deficit/hyperactivity disorder","C1263846",7,"T048","Mental or Behavioral Dysfunction"
"1026","psychological problems","C0848067",7,"T033","Finding"
"1030","parental distress","C4237043",7,"T033","Finding"
"1032","behavioural problems","C0233514",7,"T048","Mental or Behavioral Dysfunction"
"1042","specific difficulties","C0338982",7,"T048","Mental or Behavioral Dysfunction"
"1043","decreased (evans et","C0272126",7,"T047","Disease or Syndrome"
"1045","impaired ability","C0812356",7,"T033","Finding"
"1047","pathogenic variants","C2317641",7,"T033","Finding"
"1048","viral infections","C0042769",7,"T047","Disease or Syndrome"
"1056","attention deficit/hyperactivity disorder","C1263846",7,"T048","Mental or Behavioral Dysfunction"
"1057","restricted, repetitive patterns of behavior","C4064201",7,"T033","Finding"
"1058","impaired social behavior","C4064038",7,"T033","Finding"
"1061","heart problems","C0795691",7,"T184","Sign or Symptom"
"1066","nd nd","C0028684",7,"T033","Finding"
"1068","cardiovascular diseases","C0007222",7,"T047","Disease or Syndrome"
"1074","allergic diseases","C1504369",7,"T047","Disease or Syndrome"
"1076","emotional difficulties","C0563718",7,"T033","Finding"
"1077","difficulties with emotion regulation","C0563718",7,"T033","Finding"
"1078","emotional disorder","C0233459",7,"T048","Mental or Behavioral Dysfunction"
"1079","imitative behavior","C0020936",7,"T054","Social Behavior"
"1082","genetic anomalies","C1704257",7,"T033","Finding"
"1088","obsessive–compulsive disorder","C0028768",7,"T048","Mental or Behavioral Dysfunction"
"1092","recurrent infections","C0239998",7,"T033","Finding"
"1093","communication impairment","C0009460",7,"T048","Mental or Behavioral Dysfunction"
"1094","turner syndrome","C0041408",7,"T047","Disease or Syndrome"
"1095","triadic peer interaction stimuli","C1822049",7,"T033","Finding"
"1102","classic mitochondrial disease","C0751651",7,"T047","Disease or Syndrome"
"1103","cortical thickness","C1866082",7,"T033","Finding"
